Org that benefits,Org that helps,Increase in number
Lactobacillus_mucosae_LM1,Citrobacter_amalonaticus_Y19,17
Lactobacillus_mucosae_LM1,Enterobacter_cloacae_EcWSU1,17
Lactobacillus_mucosae_LM1,Escherichia_coli_str_K_12_substr_MG1655,17
Lactobacillus_mucosae_LM1,Haemophilus_parainfluenzae_T3T1,17
Lactobacillus_mucosae_LM1,Klebsiella_pneumoniae_pneumoniae_MGH78578,17
Lactobacillus_mucosae_LM1,Megasphaera_elsdenii_DSM_20460,17
Lactobacillus_mucosae_LM1,Bifidobacterium_bifidum_PRL2010,16
Lactobacillus_mucosae_LM1,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,16
Lactobacillus_mucosae_LM1,Shigella_flexneri_2002017,16
Lactobacillus_mucosae_LM1,Bacteroides_fragilis_NCTC_9343,14
Lactobacillus_mucosae_LM1,Bacteroides_thetaiotaomicron_VPI_5482,14
Lactobacillus_mucosae_LM1,Bacteroides_uniformis_ATCC_8492,14
Lactobacillus_mucosae_LM1,Bifidobacterium_longum_NCC2705,14
Dialister_invisus_DSM_15470,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,13
Dialister_invisus_DSM_15470,Enterobacter_cloacae_EcWSU1,13
Lactobacillus_mucosae_LM1,Akkermansia_muciniphila_ATCC_BAA_835,13
Lactobacillus_mucosae_LM1,Bacteroides_coprocola_M16_DSM_17136,13
Lactobacillus_mucosae_LM1,Bacteroides_eggerthii_DSM_20697,13
Lactobacillus_mucosae_LM1,Bacteroides_intestinalis_341_DSM_17393,13
Lactobacillus_mucosae_LM1,Bacteroides_stercoris_ATCC_43183,13
Lactobacillus_mucosae_LM1,Bifidobacterium_adolescentis_ATCC_15703,13
Lactobacillus_mucosae_LM1,Eubacterium_rectale_M104_1,13
Lactobacillus_mucosae_LM1,Faecalibacterium_prausnitzii_L2_6,13
Lactobacillus_mucosae_LM1,Parabacteroides_distasonis_ATCC_8503,13
Lactobacillus_mucosae_LM1,Phascolarctobacterium_succinatutens_YIT_12067,13
Lactobacillus_mucosae_LM1,Prevotella_ruminicola_23,13
Lactobacillus_mucosae_LM1,Pseudoflavonifractor_capillosus_strain_ATCC_29799,13
Lactobacillus_mucosae_LM1,Roseburia_intestinalis_L1_82,13
Lactobacillus_mucosae_LM1,Roseburia_inulinivorans_DSM_16841,13
Lactobacillus_mucosae_LM1,Ruminococcus_torques_ATCC_27756,13
Dialister_invisus_DSM_15470,Escherichia_coli_str_K_12_substr_MG1655,12
Dialister_invisus_DSM_15470,Klebsiella_pneumoniae_pneumoniae_MGH78578,12
Dialister_invisus_DSM_15470,Megasphaera_elsdenii_DSM_20460,12
Lactobacillus_mucosae_LM1,Acidaminococcus_fermentans_DSM_20731,12
Lactobacillus_mucosae_LM1,Alistipes_finegoldii_DSM_17242,12
Lactobacillus_mucosae_LM1,Bacteroides_caccae_ATCC_43185,12
Lactobacillus_mucosae_LM1,Clostridium_clostridioforme_CM201,12
Lactobacillus_mucosae_LM1,Coprococcus_catus_GD_7,12
Lactobacillus_mucosae_LM1,Fusobacterium_varium_ATCC_27725,12
Lactobacillus_mucosae_LM1,Streptococcus_salivarius_JIM8777,12
Lactobacillus_mucosae_LM1,Veillonella_atypica_ACS_049_V_Sch6,12
Lactobacillus_reuteri_SD2112_ATCC_55730,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,12
Lactobacillus_reuteri_SD2112_ATCC_55730,Enterobacter_cloacae_EcWSU1,12
Lactobacillus_reuteri_SD2112_ATCC_55730,Escherichia_coli_str_K_12_substr_MG1655,12
Lactobacillus_reuteri_SD2112_ATCC_55730,Klebsiella_pneumoniae_pneumoniae_MGH78578,12
Lactobacillus_reuteri_SD2112_ATCC_55730,Megasphaera_elsdenii_DSM_20460,12
Lactobacillus_reuteri_SD2112_ATCC_55730,Shigella_flexneri_2002017,12
Dialister_invisus_DSM_15470,Bifidobacterium_bifidum_PRL2010,11
Dialister_invisus_DSM_15470,Citrobacter_amalonaticus_Y19,11
Dialister_invisus_DSM_15470,Haemophilus_parainfluenzae_T3T1,11
Dialister_invisus_DSM_15470,Shigella_flexneri_2002017,11
Lactobacillus_mucosae_LM1,Bilophila_wadsworthia_3_1_6,11
Lactobacillus_mucosae_LM1,Collinsella_tanakaei_YIT_12063,11
Lactobacillus_mucosae_LM1,Helicobacter_pylori_26695,11
Lactobacillus_reuteri_SD2112_ATCC_55730,Bifidobacterium_bifidum_PRL2010,11
Lactobacillus_reuteri_SD2112_ATCC_55730,Citrobacter_amalonaticus_Y19,11
Lactobacillus_reuteri_SD2112_ATCC_55730,Haemophilus_parainfluenzae_T3T1,11
Alistipes_putredinis_DSM_17216,Enterobacter_cloacae_EcWSU1,10
Alistipes_putredinis_DSM_17216,Escherichia_coli_str_K_12_substr_MG1655,10
Alistipes_putredinis_DSM_17216,Klebsiella_pneumoniae_pneumoniae_MGH78578,10
Alistipes_putredinis_DSM_17216,Megasphaera_elsdenii_DSM_20460,10
Dialister_invisus_DSM_15470,Bacteroides_coprocola_M16_DSM_17136,10
Dialister_invisus_DSM_15470,Bacteroides_fragilis_NCTC_9343,10
Dialister_invisus_DSM_15470,Bacteroides_uniformis_ATCC_8492,10
Lactobacillus_mucosae_LM1,Alistipes_shahii_WAL_8301,10
Lactobacillus_mucosae_LM1,Desulfovibrio_piger_ATCC_29098,10
Lactobacillus_mucosae_LM1,Dorea_longicatena_DSM_13814,10
Lactobacillus_mucosae_LM1,Parabacteroides_johnsonii_DSM_18315,10
Lactobacillus_mucosae_LM1,Ruminococcus_callidus_ATCC_2776001,10
Lactobacillus_mucosae_LM1,Subdoligranulum_variabile_DSM_15176,10
Lactobacillus_reuteri_SD2112_ATCC_55730,Bacteroides_coprocola_M16_DSM_17136,10
Lactobacillus_reuteri_SD2112_ATCC_55730,Bacteroides_uniformis_ATCC_8492,10
Alistipes_putredinis_DSM_17216,Bifidobacterium_bifidum_PRL2010,9
Alistipes_putredinis_DSM_17216,Citrobacter_amalonaticus_Y19,9
Alistipes_putredinis_DSM_17216,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,9
Alistipes_putredinis_DSM_17216,Haemophilus_parainfluenzae_T3T1,9
Alistipes_putredinis_DSM_17216,Shigella_flexneri_2002017,9
Dialister_invisus_DSM_15470,Bacteroides_eggerthii_DSM_20697,9
Dialister_invisus_DSM_15470,Bacteroides_stercoris_ATCC_43183,9
Dialister_invisus_DSM_15470,Bifidobacterium_longum_NCC2705,9
Dialister_invisus_DSM_15470,Eubacterium_rectale_M104_1,9
Dialister_invisus_DSM_15470,Prevotella_ruminicola_23,9
Dialister_invisus_DSM_15470,Ruminococcus_torques_ATCC_27756,9
Dialister_invisus_DSM_15470,Streptococcus_salivarius_JIM8777,9
Enterococcus_faecium_TX1330,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,9
Enterococcus_faecium_TX1330,Enterobacter_cloacae_EcWSU1,9
Lactobacillus_mucosae_LM1,Alistipes_putredinis_DSM_17216,9
Lactobacillus_mucosae_LM1,Blautia_wexlerae_DSM_19850,9
Lactobacillus_mucosae_LM1,Dialister_invisus_DSM_15470,9
Lactobacillus_mucosae_LM1,Enterococcus_faecium_TX1330,9
Lactobacillus_mucosae_LM1,Lactobacillus_reuteri_SD2112_ATCC_55730,9
Lactobacillus_reuteri_SD2112_ATCC_55730,Bacteroides_stercoris_ATCC_43183,9
Lactobacillus_reuteri_SD2112_ATCC_55730,Bacteroides_thetaiotaomicron_VPI_5482,9
Lactobacillus_reuteri_SD2112_ATCC_55730,Bifidobacterium_adolescentis_ATCC_15703,9
Lactobacillus_reuteri_SD2112_ATCC_55730,Bifidobacterium_longum_NCC2705,9
Alistipes_putredinis_DSM_17216,Bacteroides_thetaiotaomicron_VPI_5482,8
Dialister_invisus_DSM_15470,Akkermansia_muciniphila_ATCC_BAA_835,8
Dialister_invisus_DSM_15470,Alistipes_finegoldii_DSM_17242,8
Dialister_invisus_DSM_15470,Bacteroides_thetaiotaomicron_VPI_5482,8
Dialister_invisus_DSM_15470,Bifidobacterium_adolescentis_ATCC_15703,8
Dialister_invisus_DSM_15470,Pseudoflavonifractor_capillosus_strain_ATCC_29799,8
Dialister_invisus_DSM_15470,Roseburia_intestinalis_L1_82,8
Dialister_invisus_DSM_15470,Roseburia_inulinivorans_DSM_16841,8
Enterococcus_faecium_TX1330,Escherichia_coli_str_K_12_substr_MG1655,8
Enterococcus_faecium_TX1330,Klebsiella_pneumoniae_pneumoniae_MGH78578,8
Enterococcus_faecium_TX1330,Megasphaera_elsdenii_DSM_20460,8
Enterococcus_faecium_TX1330,Shigella_flexneri_2002017,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Alistipes_finegoldii_DSM_17242,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Bacteroides_eggerthii_DSM_20697,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Bacteroides_fragilis_NCTC_9343,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Bacteroides_intestinalis_341_DSM_17393,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Clostridium_clostridioforme_CM201,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Coprococcus_catus_GD_7,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Eubacterium_rectale_M104_1,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Parabacteroides_distasonis_ATCC_8503,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Pseudoflavonifractor_capillosus_strain_ATCC_29799,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Roseburia_intestinalis_L1_82,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Roseburia_inulinivorans_DSM_16841,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Ruminococcus_torques_ATCC_27756,8
Lactobacillus_reuteri_SD2112_ATCC_55730,Streptococcus_salivarius_JIM8777,8
Alistipes_putredinis_DSM_17216,Bacteroides_coprocola_M16_DSM_17136,7
Alistipes_putredinis_DSM_17216,Bacteroides_fragilis_NCTC_9343,7
Alistipes_putredinis_DSM_17216,Bacteroides_intestinalis_341_DSM_17393,7
Alistipes_putredinis_DSM_17216,Bacteroides_stercoris_ATCC_43183,7
Alistipes_putredinis_DSM_17216,Bacteroides_uniformis_ATCC_8492,7
Alistipes_putredinis_DSM_17216,Bifidobacterium_longum_NCC2705,7
Alistipes_putredinis_DSM_17216,Parabacteroides_distasonis_ATCC_8503,7
Bilophila_wadsworthia_3_1_6,Bifidobacterium_adolescentis_ATCC_15703,7
Bilophila_wadsworthia_3_1_6,Bifidobacterium_bifidum_PRL2010,7
Bilophila_wadsworthia_3_1_6,Bifidobacterium_longum_NCC2705,7
Bilophila_wadsworthia_3_1_6,Citrobacter_amalonaticus_Y19,7
Bilophila_wadsworthia_3_1_6,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,7
Bilophila_wadsworthia_3_1_6,Enterobacter_cloacae_EcWSU1,7
Bilophila_wadsworthia_3_1_6,Escherichia_coli_str_K_12_substr_MG1655,7
Bilophila_wadsworthia_3_1_6,Haemophilus_parainfluenzae_T3T1,7
Bilophila_wadsworthia_3_1_6,Klebsiella_pneumoniae_pneumoniae_MGH78578,7
Bilophila_wadsworthia_3_1_6,Megasphaera_elsdenii_DSM_20460,7
Bilophila_wadsworthia_3_1_6,Shigella_flexneri_2002017,7
Desulfovibrio_piger_ATCC_29098,Bifidobacterium_adolescentis_ATCC_15703,7
Desulfovibrio_piger_ATCC_29098,Bifidobacterium_bifidum_PRL2010,7
Desulfovibrio_piger_ATCC_29098,Bifidobacterium_longum_NCC2705,7
Desulfovibrio_piger_ATCC_29098,Citrobacter_amalonaticus_Y19,7
Desulfovibrio_piger_ATCC_29098,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,7
Desulfovibrio_piger_ATCC_29098,Enterobacter_cloacae_EcWSU1,7
Desulfovibrio_piger_ATCC_29098,Escherichia_coli_str_K_12_substr_MG1655,7
Desulfovibrio_piger_ATCC_29098,Haemophilus_parainfluenzae_T3T1,7
Desulfovibrio_piger_ATCC_29098,Klebsiella_pneumoniae_pneumoniae_MGH78578,7
Desulfovibrio_piger_ATCC_29098,Megasphaera_elsdenii_DSM_20460,7
Desulfovibrio_piger_ATCC_29098,Shigella_flexneri_2002017,7
Dialister_invisus_DSM_15470,Bacteroides_caccae_ATCC_43185,7
Dialister_invisus_DSM_15470,Bacteroides_intestinalis_341_DSM_17393,7
Dialister_invisus_DSM_15470,Clostridium_clostridioforme_CM201,7
Dialister_invisus_DSM_15470,Collinsella_tanakaei_YIT_12063,7
Dialister_invisus_DSM_15470,Faecalibacterium_prausnitzii_L2_6,7
Dialister_invisus_DSM_15470,Fusobacterium_varium_ATCC_27725,7
Dialister_invisus_DSM_15470,Parabacteroides_distasonis_ATCC_8503,7
Dialister_invisus_DSM_15470,Phascolarctobacterium_succinatutens_YIT_12067,7
Enterococcus_faecium_TX1330,Bifidobacterium_bifidum_PRL2010,7
Enterococcus_faecium_TX1330,Citrobacter_amalonaticus_Y19,7
Enterococcus_faecium_TX1330,Haemophilus_parainfluenzae_T3T1,7
Lactobacillus_reuteri_SD2112_ATCC_55730,Faecalibacterium_prausnitzii_L2_6,7
Lactobacillus_reuteri_SD2112_ATCC_55730,Fusobacterium_varium_ATCC_27725,7
Lactobacillus_reuteri_SD2112_ATCC_55730,Prevotella_ruminicola_23,7
Subdoligranulum_variabile_DSM_15176,Bifidobacterium_bifidum_PRL2010,7
Subdoligranulum_variabile_DSM_15176,Citrobacter_amalonaticus_Y19,7
Subdoligranulum_variabile_DSM_15176,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,7
Subdoligranulum_variabile_DSM_15176,Enterobacter_cloacae_EcWSU1,7
Subdoligranulum_variabile_DSM_15176,Escherichia_coli_str_K_12_substr_MG1655,7
Subdoligranulum_variabile_DSM_15176,Haemophilus_parainfluenzae_T3T1,7
Subdoligranulum_variabile_DSM_15176,Klebsiella_pneumoniae_pneumoniae_MGH78578,7
Subdoligranulum_variabile_DSM_15176,Megasphaera_elsdenii_DSM_20460,7
Subdoligranulum_variabile_DSM_15176,Shigella_flexneri_2002017,7
Akkermansia_muciniphila_ATCC_BAA_835,Bacteroides_caccae_ATCC_43185,6
Akkermansia_muciniphila_ATCC_BAA_835,Bacteroides_coprocola_M16_DSM_17136,6
Akkermansia_muciniphila_ATCC_BAA_835,Bacteroides_eggerthii_DSM_20697,6
Akkermansia_muciniphila_ATCC_BAA_835,Bacteroides_fragilis_NCTC_9343,6
Akkermansia_muciniphila_ATCC_BAA_835,Bacteroides_intestinalis_341_DSM_17393,6
Akkermansia_muciniphila_ATCC_BAA_835,Bacteroides_stercoris_ATCC_43183,6
Akkermansia_muciniphila_ATCC_BAA_835,Bacteroides_thetaiotaomicron_VPI_5482,6
Akkermansia_muciniphila_ATCC_BAA_835,Bacteroides_uniformis_ATCC_8492,6
Akkermansia_muciniphila_ATCC_BAA_835,Citrobacter_amalonaticus_Y19,6
Akkermansia_muciniphila_ATCC_BAA_835,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,6
Akkermansia_muciniphila_ATCC_BAA_835,Enterobacter_cloacae_EcWSU1,6
Akkermansia_muciniphila_ATCC_BAA_835,Escherichia_coli_str_K_12_substr_MG1655,6
Akkermansia_muciniphila_ATCC_BAA_835,Haemophilus_parainfluenzae_T3T1,6
Akkermansia_muciniphila_ATCC_BAA_835,Klebsiella_pneumoniae_pneumoniae_MGH78578,6
Akkermansia_muciniphila_ATCC_BAA_835,Megasphaera_elsdenii_DSM_20460,6
Akkermansia_muciniphila_ATCC_BAA_835,Parabacteroides_distasonis_ATCC_8503,6
Akkermansia_muciniphila_ATCC_BAA_835,Prevotella_ruminicola_23,6
Akkermansia_muciniphila_ATCC_BAA_835,Shigella_flexneri_2002017,6
Alistipes_putredinis_DSM_17216,Bacteroides_eggerthii_DSM_20697,6
Alistipes_putredinis_DSM_17216,Bifidobacterium_adolescentis_ATCC_15703,6
Alistipes_putredinis_DSM_17216,Eubacterium_rectale_M104_1,6
Alistipes_putredinis_DSM_17216,Prevotella_ruminicola_23,6
Alistipes_putredinis_DSM_17216,Pseudoflavonifractor_capillosus_strain_ATCC_29799,6
Alistipes_putredinis_DSM_17216,Roseburia_intestinalis_L1_82,6
Alistipes_putredinis_DSM_17216,Roseburia_inulinivorans_DSM_16841,6
Alistipes_putredinis_DSM_17216,Ruminococcus_torques_ATCC_27756,6
Bilophila_wadsworthia_3_1_6,Alistipes_finegoldii_DSM_17242,6
