Org that benefits,Org that helps,Increase in number
Bilophila_wadsworthia_3_1_6,Clostridium_clostridioforme_CM201,6
Bilophila_wadsworthia_3_1_6,Coprococcus_catus_GD_7,6
Bilophila_wadsworthia_3_1_6,Eubacterium_rectale_M104_1,6
Bilophila_wadsworthia_3_1_6,Faecalibacterium_prausnitzii_L2_6,6
Bilophila_wadsworthia_3_1_6,Fusobacterium_varium_ATCC_27725,6
Bilophila_wadsworthia_3_1_6,Helicobacter_pylori_26695,6
Bilophila_wadsworthia_3_1_6,Pseudoflavonifractor_capillosus_strain_ATCC_29799,6
Bilophila_wadsworthia_3_1_6,Roseburia_intestinalis_L1_82,6
Bilophila_wadsworthia_3_1_6,Roseburia_inulinivorans_DSM_16841,6
Bilophila_wadsworthia_3_1_6,Ruminococcus_torques_ATCC_27756,6
Bilophila_wadsworthia_3_1_6,Streptococcus_salivarius_JIM8777,6
Blautia_wexlerae_DSM_19850,Acidaminococcus_fermentans_DSM_20731,6
Blautia_wexlerae_DSM_19850,Akkermansia_muciniphila_ATCC_BAA_835,6
Blautia_wexlerae_DSM_19850,Alistipes_finegoldii_DSM_17242,6
Blautia_wexlerae_DSM_19850,Bifidobacterium_adolescentis_ATCC_15703,6
Blautia_wexlerae_DSM_19850,Bifidobacterium_bifidum_PRL2010,6
Blautia_wexlerae_DSM_19850,Bifidobacterium_longum_NCC2705,6
Blautia_wexlerae_DSM_19850,Citrobacter_amalonaticus_Y19,6
Blautia_wexlerae_DSM_19850,Clostridium_clostridioforme_CM201,6
Blautia_wexlerae_DSM_19850,Collinsella_tanakaei_YIT_12063,6
Blautia_wexlerae_DSM_19850,Coprococcus_catus_GD_7,6
Blautia_wexlerae_DSM_19850,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,6
Blautia_wexlerae_DSM_19850,Enterobacter_cloacae_EcWSU1,6
Blautia_wexlerae_DSM_19850,Escherichia_coli_str_K_12_substr_MG1655,6
Blautia_wexlerae_DSM_19850,Eubacterium_rectale_M104_1,6
Blautia_wexlerae_DSM_19850,Faecalibacterium_prausnitzii_L2_6,6
Blautia_wexlerae_DSM_19850,Fusobacterium_varium_ATCC_27725,6
Blautia_wexlerae_DSM_19850,Haemophilus_parainfluenzae_T3T1,6
Blautia_wexlerae_DSM_19850,Klebsiella_pneumoniae_pneumoniae_MGH78578,6
Blautia_wexlerae_DSM_19850,Megasphaera_elsdenii_DSM_20460,6
Blautia_wexlerae_DSM_19850,Phascolarctobacterium_succinatutens_YIT_12067,6
Blautia_wexlerae_DSM_19850,Pseudoflavonifractor_capillosus_strain_ATCC_29799,6
Blautia_wexlerae_DSM_19850,Roseburia_intestinalis_L1_82,6
Blautia_wexlerae_DSM_19850,Roseburia_inulinivorans_DSM_16841,6
Blautia_wexlerae_DSM_19850,Ruminococcus_torques_ATCC_27756,6
Blautia_wexlerae_DSM_19850,Shigella_flexneri_2002017,6
Blautia_wexlerae_DSM_19850,Streptococcus_salivarius_JIM8777,6
Blautia_wexlerae_DSM_19850,Veillonella_atypica_ACS_049_V_Sch6,6
Collinsella_tanakaei_YIT_12063,Bifidobacterium_bifidum_PRL2010,6
Collinsella_tanakaei_YIT_12063,Citrobacter_amalonaticus_Y19,6
Collinsella_tanakaei_YIT_12063,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,6
Collinsella_tanakaei_YIT_12063,Enterobacter_cloacae_EcWSU1,6
Collinsella_tanakaei_YIT_12063,Escherichia_coli_str_K_12_substr_MG1655,6
Collinsella_tanakaei_YIT_12063,Haemophilus_parainfluenzae_T3T1,6
Collinsella_tanakaei_YIT_12063,Klebsiella_pneumoniae_pneumoniae_MGH78578,6
Collinsella_tanakaei_YIT_12063,Megasphaera_elsdenii_DSM_20460,6
Desulfovibrio_piger_ATCC_29098,Acidaminococcus_fermentans_DSM_20731,6
Desulfovibrio_piger_ATCC_29098,Akkermansia_muciniphila_ATCC_BAA_835,6
Desulfovibrio_piger_ATCC_29098,Alistipes_finegoldii_DSM_17242,6
Desulfovibrio_piger_ATCC_29098,Clostridium_clostridioforme_CM201,6
Desulfovibrio_piger_ATCC_29098,Collinsella_tanakaei_YIT_12063,6
Desulfovibrio_piger_ATCC_29098,Coprococcus_catus_GD_7,6
Desulfovibrio_piger_ATCC_29098,Eubacterium_rectale_M104_1,6
Desulfovibrio_piger_ATCC_29098,Faecalibacterium_prausnitzii_L2_6,6
Desulfovibrio_piger_ATCC_29098,Fusobacterium_varium_ATCC_27725,6
Desulfovibrio_piger_ATCC_29098,Helicobacter_pylori_26695,6
Desulfovibrio_piger_ATCC_29098,Phascolarctobacterium_succinatutens_YIT_12067,6
Desulfovibrio_piger_ATCC_29098,Pseudoflavonifractor_capillosus_strain_ATCC_29799,6
Desulfovibrio_piger_ATCC_29098,Roseburia_intestinalis_L1_82,6
Desulfovibrio_piger_ATCC_29098,Roseburia_inulinivorans_DSM_16841,6
Desulfovibrio_piger_ATCC_29098,Ruminococcus_torques_ATCC_27756,6
Desulfovibrio_piger_ATCC_29098,Streptococcus_salivarius_JIM8777,6
Desulfovibrio_piger_ATCC_29098,Veillonella_atypica_ACS_049_V_Sch6,6
Dialister_invisus_DSM_15470,Acidaminococcus_fermentans_DSM_20731,6
Dialister_invisus_DSM_15470,Coprococcus_catus_GD_7,6
Dialister_invisus_DSM_15470,Helicobacter_pylori_26695,6
Dialister_invisus_DSM_15470,Ruminococcus_callidus_ATCC_2776001,6
Dialister_invisus_DSM_15470,Veillonella_atypica_ACS_049_V_Sch6,6
Enterococcus_faecium_TX1330,Bacteroides_coprocola_M16_DSM_17136,6
Enterococcus_faecium_TX1330,Bacteroides_uniformis_ATCC_8492,6
Helicobacter_pylori_26695,Bilophila_wadsworthia_3_1_6,6
Helicobacter_pylori_26695,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,6
Helicobacter_pylori_26695,Enterobacter_cloacae_EcWSU1,6
Helicobacter_pylori_26695,Escherichia_coli_str_K_12_substr_MG1655,6
Helicobacter_pylori_26695,Klebsiella_pneumoniae_pneumoniae_MGH78578,6
Helicobacter_pylori_26695,Megasphaera_elsdenii_DSM_20460,6
Helicobacter_pylori_26695,Shigella_flexneri_2002017,6
Lactobacillus_reuteri_SD2112_ATCC_55730,Bacteroides_caccae_ATCC_43185,6
Lactobacillus_reuteri_SD2112_ATCC_55730,Helicobacter_pylori_26695,6
Lactobacillus_reuteri_SD2112_ATCC_55730,Phascolarctobacterium_succinatutens_YIT_12067,6
Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_finegoldii_DSM_17242,5
Akkermansia_muciniphila_ATCC_BAA_835,Bifidobacterium_adolescentis_ATCC_15703,5
Akkermansia_muciniphila_ATCC_BAA_835,Bifidobacterium_bifidum_PRL2010,5
Akkermansia_muciniphila_ATCC_BAA_835,Bifidobacterium_longum_NCC2705,5
Akkermansia_muciniphila_ATCC_BAA_835,Bilophila_wadsworthia_3_1_6,5
Akkermansia_muciniphila_ATCC_BAA_835,Blautia_wexlerae_DSM_19850,5
Akkermansia_muciniphila_ATCC_BAA_835,Clostridium_clostridioforme_CM201,5
Akkermansia_muciniphila_ATCC_BAA_835,Coprococcus_catus_GD_7,5
Akkermansia_muciniphila_ATCC_BAA_835,Desulfovibrio_piger_ATCC_29098,5
Akkermansia_muciniphila_ATCC_BAA_835,Dorea_longicatena_DSM_13814,5
Akkermansia_muciniphila_ATCC_BAA_835,Enterococcus_faecium_TX1330,5
Akkermansia_muciniphila_ATCC_BAA_835,Eubacterium_rectale_M104_1,5
Akkermansia_muciniphila_ATCC_BAA_835,Faecalibacterium_prausnitzii_L2_6,5
Akkermansia_muciniphila_ATCC_BAA_835,Fusobacterium_varium_ATCC_27725,5
Akkermansia_muciniphila_ATCC_BAA_835,Helicobacter_pylori_26695,5
Akkermansia_muciniphila_ATCC_BAA_835,Lactobacillus_mucosae_LM1,5
Akkermansia_muciniphila_ATCC_BAA_835,Parabacteroides_johnsonii_DSM_18315,5
Akkermansia_muciniphila_ATCC_BAA_835,Pseudoflavonifractor_capillosus_strain_ATCC_29799,5
Akkermansia_muciniphila_ATCC_BAA_835,Roseburia_intestinalis_L1_82,5
Akkermansia_muciniphila_ATCC_BAA_835,Roseburia_inulinivorans_DSM_16841,5
Akkermansia_muciniphila_ATCC_BAA_835,Ruminococcus_callidus_ATCC_2776001,5
Akkermansia_muciniphila_ATCC_BAA_835,Ruminococcus_torques_ATCC_27756,5
Akkermansia_muciniphila_ATCC_BAA_835,Streptococcus_salivarius_JIM8777,5
Akkermansia_muciniphila_ATCC_BAA_835,Subdoligranulum_variabile_DSM_15176,5
Alistipes_putredinis_DSM_17216,Akkermansia_muciniphila_ATCC_BAA_835,5
Alistipes_putredinis_DSM_17216,Alistipes_finegoldii_DSM_17242,5
Alistipes_putredinis_DSM_17216,Clostridium_clostridioforme_CM201,5
Alistipes_putredinis_DSM_17216,Coprococcus_catus_GD_7,5
Alistipes_putredinis_DSM_17216,Faecalibacterium_prausnitzii_L2_6,5
Alistipes_putredinis_DSM_17216,Phascolarctobacterium_succinatutens_YIT_12067,5
Alistipes_putredinis_DSM_17216,Streptococcus_salivarius_JIM8777,5
Bilophila_wadsworthia_3_1_6,Acidaminococcus_fermentans_DSM_20731,5
Bilophila_wadsworthia_3_1_6,Akkermansia_muciniphila_ATCC_BAA_835,5
Bilophila_wadsworthia_3_1_6,Bacteroides_eggerthii_DSM_20697,5
Bilophila_wadsworthia_3_1_6,Bacteroides_fragilis_NCTC_9343,5
Bilophila_wadsworthia_3_1_6,Bacteroides_stercoris_ATCC_43183,5
Bilophila_wadsworthia_3_1_6,Bacteroides_thetaiotaomicron_VPI_5482,5
Bilophila_wadsworthia_3_1_6,Bacteroides_uniformis_ATCC_8492,5
Bilophila_wadsworthia_3_1_6,Collinsella_tanakaei_YIT_12063,5
Bilophila_wadsworthia_3_1_6,Phascolarctobacterium_succinatutens_YIT_12067,5
Bilophila_wadsworthia_3_1_6,Veillonella_atypica_ACS_049_V_Sch6,5
Blautia_wexlerae_DSM_19850,Helicobacter_pylori_26695,5
Collinsella_tanakaei_YIT_12063,Bacteroides_coprocola_M16_DSM_17136,5
Collinsella_tanakaei_YIT_12063,Bacteroides_eggerthii_DSM_20697,5
Collinsella_tanakaei_YIT_12063,Bacteroides_fragilis_NCTC_9343,5
Collinsella_tanakaei_YIT_12063,Bacteroides_intestinalis_341_DSM_17393,5
Collinsella_tanakaei_YIT_12063,Bacteroides_stercoris_ATCC_43183,5
Collinsella_tanakaei_YIT_12063,Bacteroides_thetaiotaomicron_VPI_5482,5
Collinsella_tanakaei_YIT_12063,Bacteroides_uniformis_ATCC_8492,5
Collinsella_tanakaei_YIT_12063,Shigella_flexneri_2002017,5
Coprococcus_catus_GD_7,Bifidobacterium_bifidum_PRL2010,5
Coprococcus_catus_GD_7,Citrobacter_amalonaticus_Y19,5
Coprococcus_catus_GD_7,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,5
Coprococcus_catus_GD_7,Enterobacter_cloacae_EcWSU1,5
Coprococcus_catus_GD_7,Escherichia_coli_str_K_12_substr_MG1655,5
Coprococcus_catus_GD_7,Haemophilus_parainfluenzae_T3T1,5
Coprococcus_catus_GD_7,Klebsiella_pneumoniae_pneumoniae_MGH78578,5
Coprococcus_catus_GD_7,Megasphaera_elsdenii_DSM_20460,5
Desulfovibrio_piger_ATCC_29098,Bacteroides_uniformis_ATCC_8492,5
Dialister_invisus_DSM_15470,Alistipes_shahii_WAL_8301,5
Dialister_invisus_DSM_15470,Bilophila_wadsworthia_3_1_6,5
Dialister_invisus_DSM_15470,Desulfovibrio_piger_ATCC_29098,5
Dialister_invisus_DSM_15470,Ruminococcus_bromii_L2_63,5
Dialister_invisus_DSM_15470,Subdoligranulum_variabile_DSM_15176,5
Enterococcus_faecium_TX1330,Akkermansia_muciniphila_ATCC_BAA_835,5
Enterococcus_faecium_TX1330,Alistipes_finegoldii_DSM_17242,5
Enterococcus_faecium_TX1330,Bacteroides_eggerthii_DSM_20697,5
Enterococcus_faecium_TX1330,Bacteroides_fragilis_NCTC_9343,5
Enterococcus_faecium_TX1330,Bacteroides_stercoris_ATCC_43183,5
Enterococcus_faecium_TX1330,Bifidobacterium_adolescentis_ATCC_15703,5
Enterococcus_faecium_TX1330,Bifidobacterium_longum_NCC2705,5
Enterococcus_faecium_TX1330,Collinsella_tanakaei_YIT_12063,5
Enterococcus_faecium_TX1330,Eubacterium_rectale_M104_1,5
Enterococcus_faecium_TX1330,Ruminococcus_torques_ATCC_27756,5
Enterococcus_faecium_TX1330,Streptococcus_salivarius_JIM8777,5
Faecalibacterium_prausnitzii_L2_6,Bifidobacterium_bifidum_PRL2010,5
Faecalibacterium_prausnitzii_L2_6,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,5
Faecalibacterium_prausnitzii_L2_6,Klebsiella_pneumoniae_pneumoniae_MGH78578,5
Faecalibacterium_prausnitzii_L2_6,Megasphaera_elsdenii_DSM_20460,5
Fusobacterium_varium_ATCC_27725,Bacteroides_coprocola_M16_DSM_17136,5
Fusobacterium_varium_ATCC_27725,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,5
Fusobacterium_varium_ATCC_27725,Enterobacter_cloacae_EcWSU1,5
Fusobacterium_varium_ATCC_27725,Escherichia_coli_str_K_12_substr_MG1655,5
Fusobacterium_varium_ATCC_27725,Klebsiella_pneumoniae_pneumoniae_MGH78578,5
Fusobacterium_varium_ATCC_27725,Megasphaera_elsdenii_DSM_20460,5
Fusobacterium_varium_ATCC_27725,Shigella_flexneri_2002017,5
Helicobacter_pylori_26695,Bacteroides_coprocola_M16_DSM_17136,5
Helicobacter_pylori_26695,Bacteroides_stercoris_ATCC_43183,5
Helicobacter_pylori_26695,Bacteroides_thetaiotaomicron_VPI_5482,5
Helicobacter_pylori_26695,Bacteroides_uniformis_ATCC_8492,5
Helicobacter_pylori_26695,Bifidobacterium_bifidum_PRL2010,5
Helicobacter_pylori_26695,Citrobacter_amalonaticus_Y19,5
Helicobacter_pylori_26695,Haemophilus_parainfluenzae_T3T1,5
Helicobacter_pylori_26695,Parabacteroides_distasonis_ATCC_8503,5
Lactobacillus_reuteri_SD2112_ATCC_55730,Blautia_wexlerae_DSM_19850,5
Lactobacillus_reuteri_SD2112_ATCC_55730,Collinsella_tanakaei_YIT_12063,5
Lactobacillus_reuteri_SD2112_ATCC_55730,Desulfovibrio_piger_ATCC_29098,5
Lactobacillus_reuteri_SD2112_ATCC_55730,Parabacteroides_johnsonii_DSM_18315,5
Lactobacillus_reuteri_SD2112_ATCC_55730,Ruminococcus_callidus_ATCC_2776001,5
Lactobacillus_reuteri_SD2112_ATCC_55730,Subdoligranulum_variabile_DSM_15176,5
Lactobacillus_reuteri_SD2112_ATCC_55730,Veillonella_atypica_ACS_049_V_Sch6,5
Phascolarctobacterium_succinatutens_YIT_12067,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,5
Phascolarctobacterium_succinatutens_YIT_12067,Enterobacter_cloacae_EcWSU1,5
Phascolarctobacterium_succinatutens_YIT_12067,Escherichia_coli_str_K_12_substr_MG1655,5
Phascolarctobacterium_succinatutens_YIT_12067,Shigella_flexneri_2002017,5
Ruminococcus_callidus_ATCC_2776001,Bifidobacterium_bifidum_PRL2010,5
Ruminococcus_callidus_ATCC_2776001,Citrobacter_amalonaticus_Y19,5
Ruminococcus_callidus_ATCC_2776001,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,5
Ruminococcus_callidus_ATCC_2776001,Enterobacter_cloacae_EcWSU1,5
Ruminococcus_callidus_ATCC_2776001,Escherichia_coli_str_K_12_substr_MG1655,5
Ruminococcus_callidus_ATCC_2776001,Haemophilus_parainfluenzae_T3T1,5
Ruminococcus_callidus_ATCC_2776001,Klebsiella_pneumoniae_pneumoniae_MGH78578,5
Ruminococcus_callidus_ATCC_2776001,Megasphaera_elsdenii_DSM_20460,5
Ruminococcus_callidus_ATCC_2776001,Shigella_flexneri_2002017,5
Subdoligranulum_variabile_DSM_15176,Bacteroides_uniformis_ATCC_8492,5
Veillonella_atypica_ACS_049_V_Sch6,Bifidobacterium_bifidum_PRL2010,5
Veillonella_atypica_ACS_049_V_Sch6,Citrobacter_amalonaticus_Y19,5
Veillonella_atypica_ACS_049_V_Sch6,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,5
Veillonella_atypica_ACS_049_V_Sch6,Enterobacter_cloacae_EcWSU1,5
Veillonella_atypica_ACS_049_V_Sch6,Escherichia_coli_str_K_12_substr_MG1655,5
Veillonella_atypica_ACS_049_V_Sch6,Haemophilus_parainfluenzae_T3T1,5
Veillonella_atypica_ACS_049_V_Sch6,Klebsiella_pneumoniae_pneumoniae_MGH78578,5
Veillonella_atypica_ACS_049_V_Sch6,Megasphaera_elsdenii_DSM_20460,5
