organism,Acidaminococcus fermentans,Akkermansia muciniphila,Alistipes finegoldii,Alistipes putredinis,Alistipes shahii,Bacteroides caccae,Bacteroides coprocola,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides intestinalis,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bifidobacterium adolescentis,Bifidobacterium bifidum,Bifidobacterium longum,Bilophila wadsworthia,Blautia wexlerae,Citrobacter amalonaticus,Clostridium clostridioforme,Collinsella tanakaei,Coprococcus catus,Desulfovibrio desulfuricans,Desulfovibrio piger,Dialister invisus,Dorea longicatena,Enterobacter cloacae,Enterococcus faecium,Escherichia coli,Eubacterium rectale,Faecalibacterium prausnitzii,Fusobacterium varium,Haemophilus parainfluenzae,Helicobacter pylori,Klebsiella pneumoniae,Lactobacillus mucosae,Lactobacillus reuteri,Megasphaera elsdenii,Parabacteroides distasonis,Parabacteroides johnsonii,Phascolarctobacterium succinatutens,Prevotella ruminicola,Pseudoflavonifractor capillosus,Roseburia intestinalis,Roseburia inulinivorans,Ruminococcus bromii,Ruminococcus callidus,Ruminococcus torques,Shigella flexneri,Streptococcus salivarius,Subdoligranulum variabile,Veillonella atypica
Acidaminococcus fermentans,0,1,3,6,3,3,4,4,4,2,4,4,4,4,1,1,2,3,3,7,1,2,1,0,5,6,2,7,3,2,3,2,5,5,2,5,3,0,3,2,2,3,2,2,3,4,1,4,3,3,3,1
Akkermansia muciniphila,1,0,3,4,3,2,2,2,2,1,2,2,3,2,0,1,0,1,1,5,2,3,0,0,4,4,1,4,2,2,3,2,1,3,1,4,0,1,3,1,2,2,1,1,1,1,1,2,2,0,2,2
Alistipes finegoldii,0,0,0,2,0,2,1,2,2,0,1,1,1,2,1,1,1,3,1,4,0,2,1,0,4,5,1,5,1,4,4,2,2,2,0,2,2,1,1,0,3,1,0,2,2,3,0,3,2,2,3,3
Alistipes putredinis,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,2,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0
Alistipes shahii,0,0,0,2,0,1,1,1,1,0,1,1,1,2,1,0,1,2,1,4,0,2,1,0,4,4,1,4,1,3,4,1,2,2,0,2,1,1,1,0,2,1,0,1,1,2,0,2,2,1,3,3
Bacteroides caccae,2,5,7,2,5,0,5,3,4,5,3,1,1,3,2,1,1,4,5,4,4,6,2,0,3,4,5,8,6,5,5,5,4,4,5,8,3,3,4,4,2,5,5,5,5,5,5,5,5,4,5,3
Bacteroides coprocola,0,1,2,2,2,1,0,1,2,0,0,1,0,2,1,1,0,2,0,0,1,1,0,0,4,3,0,4,1,3,2,1,2,2,1,5,3,0,0,0,1,1,1,2,3,3,1,4,1,2,1,0
Bacteroides eggerthii,1,3,3,2,4,1,3,0,2,3,1,2,1,3,3,1,2,2,1,2,2,2,2,0,3,4,1,5,3,4,4,2,3,2,2,6,2,1,2,2,1,1,2,2,4,3,2,4,3,2,3,1
Bacteroides fragilis,2,3,3,1,2,1,3,1,0,3,2,0,2,3,2,1,2,4,2,5,3,5,2,0,2,3,2,6,3,3,2,5,2,2,1,8,1,2,1,2,3,1,3,2,3,3,3,3,2,3,4,3
Bacteroides intestinalis,1,1,3,4,3,2,1,2,3,0,1,2,2,3,0,1,0,2,1,4,2,4,0,0,6,4,1,4,1,3,3,1,2,3,1,7,2,1,1,0,3,0,2,2,3,3,1,4,2,0,2,4
Bacteroides stercoris,2,3,4,2,4,2,2,1,3,2,0,2,1,3,4,2,2,4,2,3,3,0,3,0,4,6,2,6,4,6,6,3,4,2,2,7,3,2,2,2,3,2,3,4,6,5,3,6,4,4,4,2
Bacteroides thetaiotaomicron,2,4,6,1,4,1,6,4,3,6,4,0,2,2,2,1,2,6,5,6,4,7,2,0,3,5,5,8,6,5,5,6,3,3,4,9,3,4,4,5,3,5,5,5,5,5,5,5,5,4,6,4
Bacteroides uniformis,2,5,7,2,5,1,5,4,5,5,3,1,0,3,3,2,1,6,5,4,4,5,2,0,3,6,5,9,6,7,6,6,5,3,0,8,5,3,4,4,3,5,5,7,7,7,5,7,6,5,5,2
Bifidobacterium adolescentis,2,3,5,1,3,1,5,3,4,4,4,1,1,0,2,1,0,6,5,5,4,4,1,1,3,5,4,7,5,4,4,0,4,2,4,6,5,3,5,5,3,6,4,5,4,4,4,5,6,3,4,1
Bifidobacterium bifidum,1,3,4,2,3,0,5,3,4,4,3,1,1,2,0,1,0,3,4,4,4,4,1,0,3,4,0,6,4,4,3,2,3,5,0,5,3,1,4,4,2,6,3,3,3,4,3,4,4,2,3,1
Bifidobacterium longum,3,3,5,2,3,2,5,3,5,3,3,3,2,3,3,0,0,6,6,5,5,5,3,0,5,8,5,10,6,7,5,3,5,5,5,6,5,3,4,5,3,6,5,6,6,6,5,8,8,4,6,2
Bilophila wadsworthia,1,1,1,2,1,2,1,1,2,0,0,2,2,4,1,1,0,2,1,2,2,2,2,0,4,4,1,6,2,4,1,1,2,4,2,2,2,1,0,1,3,2,1,2,3,3,1,4,2,2,2,2
Blautia wexlerae,1,1,2,2,2,0,1,0,1,0,0,1,0,3,0,1,0,0,1,2,2,1,1,0,5,2,1,3,1,2,1,0,2,3,1,5,1,1,1,1,2,2,1,0,1,2,2,2,1,1,1,2
Citrobacter amalonaticus,2,3,4,7,4,4,5,3,3,2,4,4,6,4,3,1,3,5,0,8,4,5,3,0,6,8,1,9,3,5,5,5,4,4,2,10,5,2,3,3,5,3,3,5,5,4,2,7,3,2,6,4
Clostridium clostridioforme,0,1,2,2,2,1,0,0,1,0,0,2,2,3,2,1,1,2,0,0,1,2,1,1,3,4,0,5,2,3,2,0,2,3,2,5,2,0,1,0,0,3,1,2,3,2,1,4,3,1,2,0
Collinsella tanakaei,0,0,2,3,2,2,2,2,2,1,2,2,3,2,1,1,0,2,2,4,0,2,0,0,4,4,2,5,3,2,3,0,3,4,2,1,1,0,3,0,1,4,0,1,1,2,1,2,3,1,2,2
Coprococcus catus,2,1,1,3,1,2,3,2,2,2,0,2,3,2,1,1,3,2,3,5,2,0,2,1,6,6,2,6,3,3,3,3,4,4,1,6,3,2,1,3,3,5,2,2,2,4,3,4,3,2,3,2
Desulfovibrio desulfuricans,1,2,4,5,4,2,3,2,3,2,3,3,4,3,1,1,1,3,2,6,3,4,0,1,6,6,2,6,3,3,4,1,4,5,3,6,2,1,3,1,2,4,2,2,3,3,1,4,5,2,3,3
Desulfovibrio piger,1,1,1,2,1,1,1,1,2,0,0,1,1,2,0,1,0,1,0,1,2,1,1,0,3,3,1,5,2,3,1,1,2,4,2,2,2,0,0,1,2,2,1,1,2,3,1,3,1,2,1,1
Dialister invisus,0,0,2,3,2,2,2,2,2,2,2,2,3,1,0,0,1,2,1,2,0,1,0,0,0,3,1,5,2,1,2,1,2,4,1,2,1,0,2,2,0,3,0,0,0,1,1,1,2,1,1,0
Dorea longicatena,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,2,0,0,1,2,0,0,0,1,1,2,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0
Enterobacter cloacae,2,3,4,7,4,6,6,5,5,3,5,5,7,4,0,2,4,6,1,8,4,5,2,0,6,9,0,9,3,7,6,5,3,4,2,12,6,1,4,3,6,3,4,6,7,6,1,8,3,4,7,3
Enterococcus faecium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
Escherichia coli,2,3,3,6,3,7,6,5,6,3,5,6,6,4,3,2,5,4,2,6,2,3,4,2,5,8,2,10,0,6,5,7,4,6,2,8,7,1,5,4,6,3,3,5,6,6,1,7,3,4,6,1
Eubacterium rectale,1,2,2,2,2,2,1,1,2,2,1,2,2,2,0,0,2,1,2,3,2,1,1,1,4,3,1,5,2,0,1,3,2,3,2,3,3,2,0,2,2,2,3,0,2,3,1,3,0,3,1,1
Faecalibacterium prausnitzii,1,1,1,2,1,2,2,2,2,1,1,1,1,2,0,1,1,2,2,3,2,1,1,0,4,4,1,4,3,2,0,2,2,3,1,3,3,1,0,2,3,1,2,1,3,4,1,3,1,3,2,2
Fusobacterium varium,2,2,2,3,3,2,2,0,2,1,0,3,3,0,2,1,0,1,2,3,2,2,3,0,4,5,1,5,3,3,2,0,2,5,1,3,1,1,2,2,2,3,1,1,3,2,2,4,3,1,2,2
Haemophilus parainfluenzae,0,1,1,2,1,2,3,2,1,2,3,1,3,2,0,0,2,2,0,5,1,2,1,0,3,4,0,4,2,2,3,2,0,3,1,5,1,1,1,1,3,2,1,0,1,2,1,2,0,1,3,1
Helicobacter pylori,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,2,0,1,0,0,0,0,2,2,0,3,1,2,1,2,1,0,0,3,3,1,1,0,2,1,0,2,2,2,0,2,1,1,1,1
Klebsiella pneumoniae,3,4,3,6,2,8,7,6,5,4,6,6,0,4,0,2,5,7,4,9,5,5,5,2,4,10,3,10,4,7,6,7,4,4,0,9,8,2,6,6,8,3,3,6,7,6,1,9,3,5,8,3
Lactobacillus mucosae,1,1,2,4,2,3,2,2,2,1,2,3,4,3,2,1,0,4,2,5,1,3,2,1,3,5,3,6,3,2,2,1,4,4,1,0,1,2,3,2,2,4,0,2,1,1,1,3,4,1,2,3
Lactobacillus reuteri,0,0,0,2,0,2,1,1,1,0,1,2,3,3,1,0,0,1,0,2,0,1,1,0,2,3,0,4,0,2,2,0,0,3,0,1,0,1,1,0,1,1,0,1,1,1,0,2,1,0,2,1
Megasphaera elsdenii,1,2,4,7,4,2,4,3,4,3,4,4,5,3,0,1,2,3,3,7,0,4,0,0,6,5,2,6,3,2,3,3,4,6,2,8,4,0,4,2,1,3,2,2,2,2,1,3,3,3,2,2
Parabacteroides distasonis,1,3,3,2,2,1,2,1,1,2,2,1,1,2,1,0,1,3,1,3,3,3,1,0,3,3,1,4,2,2,2,3,2,2,1,7,2,2,0,1,2,0,3,1,3,3,2,4,1,3,2,2
Parabacteroides johnsonii,1,2,3,4,3,2,2,2,3,1,2,2,2,3,0,1,0,2,1,4,0,3,0,0,6,4,1,4,1,3,3,2,2,3,1,6,2,1,1,0,3,0,2,2,3,3,1,4,2,3,2,3
Phascolarctobacterium succinatutens,0,1,3,4,3,3,2,2,3,1,2,4,3,3,1,0,0,2,2,3,1,3,1,0,3,4,2,5,2,2,2,0,3,4,2,3,1,0,2,1,0,1,1,1,2,2,1,3,3,2,2,1
Prevotella ruminicola,1,3,3,3,2,2,3,2,2,2,3,2,2,3,1,0,1,4,2,6,3,5,1,0,4,4,2,5,2,2,3,3,4,3,1,7,2,1,1,1,3,0,3,1,3,4,2,4,3,4,3,3
Pseudoflavonifractor capillosus,1,0,0,1,0,2,1,1,1,0,0,1,1,2,1,1,0,2,1,1,1,1,2,0,2,4,1,4,1,4,1,1,1,2,0,1,1,0,0,1,2,1,0,2,2,2,1,3,2,1,2,1
Roseburia intestinalis,1,2,2,3,2,2,1,1,2,2,1,2,2,3,0,1,2,1,2,3,2,1,1,1,4,4,1,5,2,1,2,2,2,4,2,3,3,2,1,2,2,3,3,0,2,3,1,4,1,3,1,1
Roseburia inulinivorans,2,1,2,2,2,1,1,0,1,1,0,1,1,2,0,0,1,0,3,3,2,1,2,1,3,4,2,4,3,2,2,1,2,4,1,3,1,1,0,2,2,3,1,0,0,2,3,2,2,1,1,1
Ruminococcus bromii,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Ruminococcus callidus,1,1,3,5,3,2,2,2,3,1,2,3,4,3,1,1,0,3,2,6,3,4,0,0,6,5,2,6,1,3,4,0,4,5,2,4,2,1,3,1,2,4,2,2,3,3,0,4,4,2,3,3
Ruminococcus torques,1,1,2,0,2,0,1,0,0,1,0,0,1,1,1,2,1,1,1,1,1,2,1,0,1,0,1,2,2,1,0,1,1,1,1,2,0,1,2,1,0,2,1,1,1,1,2,0,1,1,1,1
Shigella flexneri,2,4,4,7,4,5,6,5,5,3,5,4,5,3,1,2,4,5,1,8,4,4,3,1,5,7,1,9,4,0,4,7,3,4,2,11,6,2,4,4,6,3,3,4,4,5,2,6,0,4,4,3
Streptococcus salivarius,2,2,4,6,4,3,4,2,2,0,3,2,3,2,2,1,0,4,2,5,3,4,1,1,4,6,3,7,5,2,3,2,4,5,3,3,3,2,3,4,2,5,0,2,1,2,3,3,3,0,2,4
Subdoligranulum variabile,1,2,2,3,2,2,0,1,3,1,0,2,1,3,0,1,1,1,2,2,2,1,1,1,3,4,1,5,2,2,2,2,2,4,2,2,3,1,0,1,2,2,2,1,2,3,1,4,1,3,0,0
Veillonella atypica,1,2,3,2,3,2,0,0,2,2,0,3,2,3,2,1,3,3,1,2,2,2,3,1,4,5,1,7,1,4,4,2,3,3,2,7,4,1,1,2,2,4,2,2,3,3,2,5,3,3,3,0
